video_id,comment_id,text,author,likes,time,reply_count,cleaned_comment
SH9Mz-Ssd7A,UgxHHySA4fJ2smicteR4AaABAg,The most popular brand amongst Indian Namkeens here in Canada. Awesome quality!🇨🇦,@Anonymo13,157,4 years ago,False,popular brand amongst indian namkeens canada awesome quality
SH9Mz-Ssd7A,UgwCplFxgBb1PelvD2R4AaABAg,"Haldiram Products Are Nice And Taste.
     But They did not ENCOURAGE consumers. 
     So many Companies are Giving GIFTS.
      But HALDIRAM Is no GIFTS For 
Consumers.
       ALL COMPANIES GIVING FESTIVAL 
GIFTS.   1+1 IT MEANS . BUY ONE GET ONE FREE.",@ramagopalmaddi7109,0,4 years ago,False,haldiram products nice taste encourage consumers many companies giving gifts haldiram gifts consumers companies giving festival gifts means buy one get one free
SH9Mz-Ssd7A,UgzV4WRgjLRVGxlCdFp4AaABAg,M,@mohdjaveed5213,0,4 years ago,False,
SH9Mz-Ssd7A,UgwxhxhTxLzE2oNZOZ14AaABAg,".షయయయష ,ంమ .గయయ0.",@haribabunbgpnuthalapati7290,0,4 years ago,False,షయయయష ంమ గయయ
SH9Mz-Ssd7A,UgyIuDRgwlWVqITBHZt4AaABAg,"Every thing is best, no doubt",@habibkhan-el1bw,1,4 years ago,False,every thing best doubt
SH9Mz-Ssd7A,Ugxz696_AYJ_FQhXEpp4AaABAg,Keep it up,@ఓంకార్123,0,4 years ago,False,keep
SH9Mz-Ssd7A,Ugw0Arcx47_UZshr-pl4AaABAg,Nice we are happy to plant in Nagpur,@killedarenterprises2438,0,4 years ago,False,nice happy plant nagpur
SH9Mz-Ssd7A,UgxqET8NF4hRnqKh8yF4AaABAg,Tq,@ponnurunagasudha7945,0,4 years ago,False,tq
SH9Mz-Ssd7A,UgxzNK52JKOjcH57woF4AaABAg.9HRb821a0Vv9O4lhFzQFY6,No,@spe1412,0,4 years ago,True,
SH9Mz-Ssd7A,UgxHHySA4fJ2smicteR4AaABAg.9G8-psMNqkm9MH_r_wKYNI,India me to isko koi pasand nahi karta hai yaha local hi fresh n best hota hai u live your frozen life,@fantastic5213,6,4 years ago,True,india isko koi pasand nahi karta hai yaha local hi fresh n best hota hai u live frozen life
SH9Mz-Ssd7A,UgxHHySA4fJ2smicteR4AaABAg.9G8-psMNqkm9MnSf1Ckusx,Enjoy,@nitinkrishna6161,2,4 years ago,True,enjoy
SH9Mz-Ssd7A,UgxHHySA4fJ2smicteR4AaABAg.9G8-psMNqkm9OFsLkSg6V-, @fantastic5213  not like that,@gorelalsahu,2,4 years ago,True,like
